,director_name,gross
36,Alex Proyas,320915278.0
508,Genndy Tartakovsky,318005620.0
283,D.J. Caruso,316981707.0
814,Jonathan Mostow,316107826.0
739,John Carpenter,315333745.0
1406,Scott Derrickson,312380532.0
718,Joe Dante,312044641.0
689,Jerry Zucker,311838964.0
55,Andrew Davis,311800363.0
9,Adrian Lyne,311033012.0
365,David Zucker,310185660.0
1302,Richard Marquand,309125409.0
1645,Woody Allen,308345443.0
118,Ben Stiller,302800109.0
153,Brad Peyton,302569689.0
1019,Matt Reeves,300712517.0
750,John G. Avildsen,298835247.0
1138,Nicholas Stoller,296870265.0
805,Jonathan Demme,296843180.0
24,Alan Taylor,296092053.0
1472,Steve Carr,295095213.0
1037,Michael Apted,293799466.0
1477,Steve Martino,291492320.0
729,Joel Zwick,289551983.0
1565,Tom Hooper,288020360.0
307,Danny Boyle,287056963.0
679,Jeff Tremaine,283471008.0
29,Alejandro G. Iñárritu,281904926.0
1210,Penny Marshall,276541336.0
297,Dan Scanlon,268488329.0
752,John Glen,266352912.0
724,Joe Wright,266107297.0
1168,Olivier Megaton,265772165.0
523,George Roy Hill,261908900.0
922,Lee Tamahori,261699760.0
914,Larry Charles,261111459.0
883,Kevin Costner,260130919.0
555,Gus Van Sant,257104080.0
1485,Steven Brill,256656266.0
84,Anthony Minghella,255576179.0
505,Gavin Hood,254116544.0
280,Curtis Hanson,253289540.0
469,Frank Marshall,252483657.0
40,Alexander Payne,251630386.0
315,Darren Aronofsky,251314961.0
1638,William Friedkin,250586390.0
1415,Sean Anders,250057902.0
926,Len Wiseman,248323628.0
487,Gabriele Muccino,245862880.0
1349,Robert Wise,245514286.0
369,Dean Parisot,245415758.0
1380,Rupert Wyatt,244003092.0
1029,Mel Brooks,243919483.0
167,Brian Helgeland,242128271.0
1480,Steve Oedekerk,241450927.0
1346,Robert Stromberg,241407328.0
1131,Neill Blomkamp,240265620.0
759,John Landis,238410000.0
981,Mark Andrews,237282182.0
1457,Stephen Herek,236390196.0
763,John Madden,236364967.0
154,Brad Silberling,235297169.0
1023,Matthew Vaughn,235132974.0
916,Lasse Hallström,233160678.0
74,Angelina Jolie Pitt,232040274.0
351,David R. Ellis,231814993.0
1127,Neil Burger,230714216.0
317,Darren Lynn Bousman,230585939.0
1359,Roger Donaldson,230518521.0
984,Mark Dindal,228240829.0
