director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Barry Levinson,1124.0,1523.0,3536.0,22303.0,192240.0,623709246.0,988884,278304,26.0,2291.0,429000000.0,25946.0,39170.0,85.5,27.05,25690
Jonathan Liebesman,1697.0,596.0,2839.0,2503.0,37499.0,620577856.0,724094,54179,0.0,2770.0,497000000.0,12060.0,8182.0,34.2,13.1,170000
Pierre Coffin,610.0,185.0,550.0,1975.0,14000.0,619551280.0,672820,23513,0.0,580.0,145000000.0,4023.0,4000.0,15.2,3.7,87000
Rob Marshall,1426.0,637.0,1260.0,11330.0,81947.0,616430006.0,800694,120732,10.0,3060.0,510000000.0,10041.0,22890.0,33.0,11.29,148000
John McTiernan,1326.0,1148.0,3230.0,4626.0,44746.0,606153838.0,1697125,77178,10.0,3791.0,526000000.0,19948.0,18561.0,66.3,23.0,39278
Robert Rodriguez,1719.0,1338.0,0.0,13292.0,222121.0,590283751.0,1057710,293948,25.0,3390.0,371007000.0,26035.0,36638.0,74.0,24.0,61590
Tim Story,747.0,623.0,1002.0,3736.0,16274.0,588701230.0,389835,35623,20.0,859.0,243000000.0,12065.0,5696.0,36.3,13.6,3770
Paul Feig,1642.0,576.0,880.0,2678.0,4194.0,581501799.0,499833,16679,22.0,3343.0,389500000.0,10062.0,3049.0,29.5,11.75,175498
Jon Turteltaub,928.0,796.0,1582.0,3787.0,74953.0,577335180.0,681623,101090,6.0,1689.0,440000000.0,14015.0,14941.0,45.5,15.45,38000
Alfonso Cuarón,1557.0,448.0,0.0,10050.0,27308.0,572352439.0,1418316,50211,4.0,4980.0,308000000.0,8024.0,10496.0,31.2,8.4,175000
Jan de Bont,631.0,580.0,505.0,5743.0,72673.0,567847589.0,626538,100172,1.0,2137.0,452000000.0,9989.0,14220.0,27.6,11.75,894
Francis Ford Coppola,1401.0,1685.0,0.0,24023.0,138000.0,558860377.0,3035931,230195,8.0,6082.0,279100000.0,21842.0,56079.0,81.6,21.37,106828
Nancy Meyers,879.0,634.0,1390.0,3239.0,67000.0,558599150.0,633234,97176,9.0,1798.0,355000000.0,10033.0,20955.0,33.8,8.77,73000
James Mangold,1834.0,991.0,3568.0,5939.0,107523.0,554390748.0,1340276,151145,6.0,3878.0,432000000.0,16035.0,26242.0,56.6,17.34,103000
Mike Newell,1114.0,917.0,1253.0,12125.0,96267.0,552092779.0,1046548,153919,13.0,3334.0,537500000.0,14015.0,30784.0,47.9,15.26,23783
Gary Ross,927.0,421.0,1134.0,1477.0,57000.0,548536667.0,762345,76536,1.0,2461.0,215000000.0,6031.0,15499.0,21.3,6.55,150000
Andy Tennant,788.0,717.0,432.0,3186.0,41564.0,547029178.0,573581,56609,6.0,1599.0,319000000.0,12022.0,4807.0,37.5,14.1,0
Rob Reiner,1158.0,1130.0,0.0,4689.0,57052.0,546997333.0,1232576,79045,8.0,2882.0,335000000.0,21978.0,8223.0,77.2,21.85,97216
Dean DeBlois,760.0,285.0,765.0,2155.0,37000.0,540156631.0,823770,46943,5.0,1202.0,390000000.0,6026.0,4486.0,23.3,6.36,79000
Ivan Reitman,789.0,862.0,3400.0,3567.0,50412.0,534858920.0,574736,76073,14.0,1014.0,241000000.0,15974.0,15193.0,48.6,17.3,39263
F. Gary Gray,1108.0,983.0,3784.0,4213.0,90275.0,530923809.0,912806,120071,17.0,2221.0,289500000.0,16024.0,14742.0,55.5,18.35,108000
Wes Craven,2426.0,1257.0,0.0,3968.0,88383.0,529079795.0,1056700,107277,16.0,5539.0,261600000.0,23991.0,6352.0,72.0,26.2,58000
Ang Lee,1961.0,1035.0,0.0,12991.0,43084.0,526804708.0,1290319,87883,17.0,6808.0,385500000.0,16020.0,28393.0,58.0,15.8,135633
Sydney Pollack,539.0,692.0,2605.0,2841.0,45591.0,526218684.0,321726,60273,3.0,1237.0,239000000.0,9964.0,3690.0,32.9,10.25,295
Adam McKay,1481.0,715.0,1710.0,15968.0,712000.0,524449691.0,1115212,786121,20.0,2327.0,342000000.0,12056.0,51000.0,41.5,13.6,156000
Renny Harlin,1654.0,1662.0,3180.0,6247.0,57088.0,523975947.0,831707,84215,22.0,3586.0,692300000.0,29987.0,9516.0,86.2,33.9,26093
Peter Berg,1499.0,668.0,3192.0,3462.0,43480.0,523040187.0,973441,77687,2.0,2786.0,564000000.0,12041.0,23883.0,40.0,13.6,102000
David O. Russell,2241.0,913.0,5896.0,44408.0,148718.0,520549751.0,1457982,287876,30.0,3162.0,249000000.0,16064.0,69950.0,54.2,17.3,243824
Phillip Noyce,1087.0,983.0,1584.0,11798.0,66851.0,519989056.0,712154,110049,14.0,2132.0,408000000.0,18016.0,24736.0,60.9,21.15,82430
